day,id,k,k_label,k_icon,t_start,t_end,language,image,orga,fr_location,fr_title,fr_description,en_title,en_description,en_location
,37,talk,talk,fa-presentation,2020-01-11T17:00:00+02:00,2020-01-11T17:30:00+02:00,EN,,"Dani Shavit - DAOincubator, AragonBlack",Conférence,A History of Decentralized Thought,Daniel Shavit est co-fondateur de DAOincubator et research lead à Pando Network et Aragon Black,A History of Decentralized Thought,Daniel Shavit is the co-founder of DAOincubator and Research Lead at Pando Network and Aragon Black,Conférence
,38,talk,talk,fa-presentation,2020-01-11T17:30:00+02:00,2020-01-11T18:00:00+02:00,EN,,"Alex Masmej - MetaCartel, Stake DAO",Conférence,From multisig to revenue generating DAOs,"Alex Masmej is part of the original MetaCartel DAO, which was grants-giving. New bigger steps are yet to come, and Alex will be giving a sneak peek into its future.",From Multisig to Revenue-Generating DAOs,"MetaCartel DAO started as a working group to solve the metatransaction problem. After that, the community went on to do a multisig experiment to fund the Ethereum application layer. It’s now looking for its bold next step in the emerging DAO ecosystem. Alex Masmej from MetaCartel will offer a sneak peek of its future.",Conférence
,39,talk,talk,fa-presentation,2020-01-11T18:00:00+02:00,2020-01-11T18:30:00+02:00,FR,,FX Thoorens - ARK Ecosystem,Conférence,Présentation de l'Écosystème ARK et de ses derniers développement par François-Xavier Thoorens ,"ARK Ecosystem est une Société Coopérative d'Intérêt Collectif à l'origine de la blockchain ARK, et basé sur un Protocole DPOS. François-Xavier viendra nous présenter le fonctionnement de ARK, tant sur son organisation que sur le fonctionnement de son protocole, et ses dernières réalisations techniques.","Presentation of the ARK Ecosystem and its most recent developments, by François-Xavier Thoorens ","ARK Ecosystem is the multistakeholder co-op that created the ARK blockchain. François-Xavier will present both the organization of the co-op and the DPoS-based protocol, including its latest features.",Conférence
,40,talk,talk,fa-presentation,2020-01-10T20:00:00+02:00,2020-01-10T21:15:00+02:00,FR,,Antoine Champagne - Reflets.info,Conférence,État des lieux : Protection des communications & journalisme.,,"How Can Journalists Protect their Sources Today, by Antoine Champagne",,Conférence
,41,talk,talk,fa-presentation,2020-01-11T13:00:00+02:00,2020-01-11T14:00:00+02:00,EN,,Manel Ruiz - Aeternity,P2P Meet-up,Aeternity: Smart contracts scalables et oracles intégrés,"Manel Ruiz from Aeternity will present the improvements done since the release of the Aeternity Mainnet one year ago. He will explain how State Channels work on Aeternity, how to set up an Oracle and the Aeternity Naming system. Also, he will present the Aeternity incubation program, which supports developers willing to create Daepps on Aeternity",Aeternity: Scalable smart contracts interacting with real world information,"Manel Ruiz from Aeternity will present the improvements done since the release of the Aeternity Mainnet one year ago. He will explain how State Channels work on Aeternity, how to set up an Oracle and the Aeternity Naming system. Also, he will present the Aeternity incubation program, which supports developers willing to create Daepps on Aeternity",P2P Meet-up
,42,workshop,workshop,fa-laptop-code,2020-01-11T14:00:00+02:00,2020-01-11T16:00:00+02:00,FR,,"Adrien Berthou - Genesis DAO, FestDAO / Nicholas G.S. Saul - Sciences Po",P2P Meet-up,Workshop DAOcanvas,"Ce workshop proposé par festDAO et animé par Adrien Berthou est une introduction pratique et participative à la conception d'une DAO. Après une présentation des principes des DAO et une démo de DAO en production, les participants sont invités à proposer des cas pertinents et à en poser les principaux mécanismes en s'aidant du DAO canvas",Workshop DAOcanvas,"This workshop is offered by festDAO and Adrien Berthou, as a practical and participative introduction to DAO design. It will include a general presentation of DAO principles, a quick demo of a DAO in production, and a co-creation session based on the DAO canvas.",P2P Meet-up
,43,workshop,workshop,fa-laptop-code,2020-01-12T13:00:00+02:00,2020-01-12T16:00:00+02:00,EN,,Manuel Ruiz - Aeternity,Hackzone,"Atelier sur la blockchain Aeternity et son langage fonctionnel, Sophia","Aeternity has developed a functional programing language for smart contracts called Sophia, a ""dialect"" of Reason ML. To help developers get into It, we have created a remunerated online course. Participants to the worshop will receive a link to get access to It. At the end of the course there is a ""Challenge"": students have to sucessfully modify a voting Daepp.","Workshop on Aeternity and its functional programming language, Sophia","Aeternity has developed a functional programing language for smart contracts called Sophia, a ""dialect"" of Reason ML. To help developers get into It, we have created a remunerated online course. Participants to the worshop will receive a link to get access to It. At the end of the course there is a ""Challenge"": students have to sucessfully modify a voting Daepp.",Hackzone
,44,talk,talk / panel #1,fa-presentation,2020-01-11T14:00:00+02:00,2020-01-11T15:00:00+02:00,FR,,Lionel Maurel + TBA,Village,,"Open Science et Open Education, quelles prospectives pour 2020?
TBA","Public Commons Day - Outlook 2020 on Open Science and Open Education
","Open Science and Open Education, what will unfold in 2020?
TBA",Village
,45,talk,talk / panel #2,fa-presentation,2020-01-11T15:00:00+02:00,2020-01-11T16:00:00+02:00,FR,,Danièle Bourcier + TBA,Village,"Public Commons Day - Licences libres et aide au développement: retours d’expérience (Creative Commons, Wikimedia)
",,"Public Commons Day - Free licenses: lessons learned (Creative Commons, Wikimedia)
",Danièle Bourcier + TBA,Village
,46,talk,talk / panel #3,fa-presentation,2020-01-11T16:00:00+02:00,2020-01-11T17:00:00+02:00,FR,,Primavera de Filippi + TBA,Village,"Public Commons Day - Implications de l’intelligence artificielle et la blockchain sur la production artistique
",,"Public Commons Day - How AI and Blockchain may impact art creation
","Primavera De Filippi +TBA
",Village
,47,meet-up,meet-up,fa-glass-cheers,2020-01-11T17:00:00+02:00,2020-01-11T18:00:00+02:00,FR,,Public Commons Day,Village,Pot de Public Commons Day,Pot convivial pour fêter le Public Commons Day,Drinks and Networking - Public Commons Day,Let's have a drink!,Village
