day,id,k,k_label,k_icon,t_start,t_end,language,image,orga,fr_location,fr_title,fr_description,en_title,en_description,en_location
,48,projection,projection,fa-camera-movie,2020-01-11T17:00:00+02:00,2020-01-11T18:30:00+02:00,FR,movie_protocole.png,P2P Festival,Projection,Projection du documentaire Protocole,"Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Protocole - A Documentary About Bitcoin & Cryptocurrencies,"Protocole is plugged to the « cryptosphere », where one can meet users and supporters of Bitcoin and other cryptocurrencies, as well as entrepreneurs and researchers.

Giving them a voice makes it obvious that Bitcoin as a way of challenging monetary institutions is actually part of larger trend of the society as a whole. Cryptocurrency are not just a new ""asset class"", but complex and far-reaching social phenomenon.",Projection
,49,projection,projection,fa-camera-movie,2020-01-11T20:00:00+02:00,2020-01-11T21:30:00+02:00,EN (VOSTFR),movie_nothing_to_hide.png,P2P Festival,Projection,Projection du documentaire Nothing to Hide,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Nothing to hide - A Documentary About Surveillance,"This documentary shows how the general population is keen to accept to be under constant surveillance. ""Fascinating"" (Inrocks), ""Eye-opener"" (Forbes), ""Worrying"" (France 24)",Projection
,50,party,DJ set,fa-music,2020-01-10T21:30:00+02:00,2020-01-10T00:30:00+02:00,,,Dani S,Avion,DJ Set Exotic/Electro/Funk,Un exil méditerranéen dans les Babylones du Nord,DJ Set Exotic/Electro/Funk,A mediterranean spirit exiled to Northern Babylon,Avion
,51,stand,stand,fa-flag,TBA,TBA,FR,,Les Hackeuses,Village (entre la boutique de plante et la tête de l’avion),Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,"Introduction to Cryptocurrency for Women, by @mamiecrypto",@LesHackeuses and firends support women in their effort to play a bigger part within the blockchain ecosystem.,Village
,52,stand,stand,fa-flag,2020-01-11T14:00:00+02:00,2020-01-11T18:00:00+02:00,FR/EN,,Artiste Fasto,Village (entrée),P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",P2P Painting - Experiment Peer-painting with friends,Partipative & peer-painting with Fasto - children and adults equally welcomed!,Village (entrance)
,53,stand,stand,fa-flag,TBA,TBA,FR,,Arthur Bard,Village,France Barter,"France Barter : l'échange inter-entreprises
Achetez sans argent auprès d’une communauté d’entreprises",France Barter,France Barter: a marketplace between businesses. Purchase without money within a community of peer businesses.,Village
dimanche 12,54,projection,projection,fa-camera-movie,2020-01-12T14:00:00+02:00,2020-01-12T15:30:00+02:00,EN (VOSTFR),movie_nothing_to_hide.png,P2P Festival,Projection,Projection du documentaire Nothing to Hide,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Nothing to hide - A Documentary About Edward Snowden,"This documentary shows how the general population is keen to accept to be under constant surveillance. ""Fascinating"" (Inrocks), ""Eye-opener"" (Forbes), ""Worrying"" (France 24)",Projection
,55,projection,projection,fa-camera-movie,2020-01-12T16:30:00+02:00,2020-01-12T18:00:00+02:00,FR,movie_protocole.png,P2P Festival,Projection,Projection du documentaire Protocole,"Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Protocole - A Documentary About Bitcoin & Cryptocurrencies,"Protocole is plugged to the « cryptosphere », where one can meet users and supporters of Bitcoin and other cryptocurrencies, as well as entrepreneurs and researchers.

Giving them a voice makes it obvious that Bitcoin as a way of challenging monetary institutions is actually part of larger trend of the society as a whole. Cryptocurrency are not just a new ""asset class"", but complex and far-reaching social phenomenon.",Projection
,56,talk,talk,fa-presentation,2020-01-12T14:00:00+02:00,2020-01-12T15:00:00+02:00,FR,,X-Network,Conférence,TBA,,TBA,,Conférence
,57,workshop,workshop,fa-laptop-code,2020-01-12T13:00:00+02:00,2020-01-12T16:00:00+02:00,FR/EN,,Pathwar.land,Hackzone,Découverte de la plateforme d'apprentissage de Cybersécurité : Pathwar.land ,"Pathwar.land est une plateforme opensource permettant l'apprentissage des pratiques de la cybersécurité. Elle est gratuite et accessible à tous et prend la forme de challenges, de défis, et d'une compétition sans merci entre les joueurs.",Découverte de la plateforme d'apprentissage de Cybersécurité : Pathwar.land ,"Pathwar.land is an open-source platform for teaching cybersecurity, using challenges and ruthless competition between players. It's free and open to all!",Hackzone
,58,talk,talk,fa-presentation,2020-01-12T14:00:00+02:00,2020-01-12T15:00:00+02:00,FR,,Thomas Chataignier et Philippe M. - Blockchain Partner,P2P Meet-up,De la preuve Zero-Knowledge à l'identité Zero-Knowledge,"Familiarisez-vous avec les Zero Knowledge Proofs (ZKP), ou Preuves à divulgation nulle de connaissance. Cet outil cryptographique, sujet de beaucoup d’attention récemment, permet de prouver un attribut tout en protégeant sa donnée personnelle. Scrutins, self-sovereign identity, systèmes d’authentification ; les usages concernés sont multiples.

Autour d’un sujet investissant le domaine du vote, mêlant blockchains et identités décentralisées, le sujet sera introduit et l’on tentera d’exposer tous les éléments permettant à chacun de construire ses propres applications.

Un exemple pour vous familiariser avec le sujet de la Zero-Knowledge Identity : Building trust while keeping data undisclosed (https://medium.com/@teamtech/building-trust-while-keeping-data-undisclosed-c44555c57bdb).",From Zero-Knowledge Proof to Zero-Knowledge Identity,"Get yourself up to speed with Zero Knowledge Proofs (ZKP). ZKPs are cryptographic methods that enable to prove the validity of an attribute without revealing the underlying data. They can be used in a wide range of applications, such as voting, self-sovereign identity, authentication, etc.

We use the vote use case in order to introduce ZKPs and present the components required to build your own applications..

If you want to get familiar with ZK identity matter beforehand, you can read this: Building trust while keeping data undisclosed (https://medium.com/@teamtech/building-trust-while-keeping-data-undisclosed-c44555c57bdb).",P2P Meet-up
,59,workshop,workshop,fa-laptop-code,2020-01-12T15:00:00+02:00,2020-01-12T16:30:00+02:00,FR,,Thomas Chataignier et Philippe M. - Blockchain Partner,P2P Meet-up,Zero-knowledge signaling on Ethereum,"Ce hands-on d’une heure et demie permettra de prendre en main la technologie ZKP. Un système de scrutin anonyme sera construit lors de cette rencontre, en s’appuyant particulièrement sur l’outil Semaphore.

Aucune connaissance préalable en terme de cryptographie ou de réseaux décentralisés n’est nécessaire.

Chacun est invité à amener un ordinateur. Les outils docker et node, ainsi qu’un navigateur récent avec un wallet blockchain tel que MetaMask installé, sont recommandés.

Pour les plus déterminés, une introduction aux ZKPs (https://medium.com/web3studio/a-simple-explanation-of-zero-knowledge-proofs-ca574092e73b) ou à Semaphore (https://commonwealth.im/edgeware/proposal/discussion/96-semaphore-and-the-potential-for-a-private-dao) peuvent être de judicieuses lectures préalables.",Zero-knowledge signaling on Ethereum,"This hands-on workshop will help you to get a grip on ZKP technology. We will build together an anonymous voting system using Semaphore.

No prior knowledge of cryptography nor decentralized network is needed.

Please come with your laptop, preferably with Docker, node, a browser with a recent version and an Ethereum wallet such as MetaMask.

If you want to be 100% ready, you may want to read first this introduction to ZKPs (https://medium.com/web3studio/a-simple-explanation-of-zero-knowledge-proofs-ca574092e73b) and this one to Semaphore (https://commonwealth.im/edgeware/proposal/discussion/96-semaphore-and-the-potential-for-a-private-dao).",P2P Meet-up
,60,talk,talk,fa-presentation,2020-01-12T14:00:00+02:00,2020-01-12T15:00:00+02:00,EN,,Caleb James Delisle,Hackzone,Cjdns et PKT : Décentraliser l'infrastructure d'Internet,"8 years ago cjdns was started to make the internet encrypted and decentralized, unlike TOR and I2P, it was not intended as an overlay but rather to a complete revisit of the way the internet should work, peer-to-peer and always encrypted. Since then it has had moderate community interest but has not lead to any actual infrastructure buildout.

My current project is a sort of phase-two of cjdns, building a blockchain called PKT in order to create a bandwidth market so that anyone capable of running fiber and pointing antennas can participate in building the infrastructure of the new internet. All of these fibers and wireless links will become a ""pool of bandwidth"" which a professional network operator can reach into and pull out the bandwidth necessary to build their own network.

This talk aims to limit technical details to the minimum that is necessary so please do not feel intimidated to attend. There will be time reserved for questions so that in case there is not enough technical detail, topics can be addressed more fully.",Cjdns and PKT : Decentralizing Internet Infrastucture,"8 years ago cjdns was started to make the internet encrypted and decentralized, unlike TOR and I2P, it was not intended as an overlay but rather to a complete revisit of the way the internet should work, peer-to-peer and always encrypted. Since then it has had moderate community interest but has not lead to any actual infrastructure buildout.

My current project is a sort of phase-two of cjdns, building a blockchain called PKT in order to create a bandwidth market so that anyone capable of running fiber and pointing antennas can participate in building the infrastructure of the new internet. All of these fibers and wireless links will become a ""pool of bandwidth"" which a professional network operator can reach into and pull out the bandwidth necessary to build their own network.

This talk aims to limit technical details to the minimum that is necessary so please do not feel intimidated to attend. There will be time reserved for questions so that in case there is not enough technical detail, topics can be addressed more fully.",Hackzone
,61,workshop,workshop,fa-laptop-code,2020-01-12T15:00:00+02:00,2020-01-12T16:00:00+02:00,EN,,Caleb James Delisle,Hackzone,Cjdns and PKT Installation Workshop,"During the workshop, you will install cjdns, pktd and pktwallet, you will setup cjdns as a VPN using the free VPN exit provided by IPRedator and you will mine some PKT to your wallet and transfer it.

Come with a Linux or Apple computer and a basic to intermediate skill level with using the terminal. If you are not comfortable using the command line on your computer, I recommend studying The CLI Crash Course (http://cglab.ca/~morin/teaching/1405/clcc/book/cli-crash-course.html) which should get you a basic working knowledge within a few days to a week.",Cjdns and PKT Installation Workshop,"During the workshop, you will install cjdns, pktd and pktwallet, you will setup cjdns as a VPN using the free VPN exit provided by IPRedator and you will mine some PKT to your wallet and transfer it.

Come with a Linux or Apple computer and a basic to intermediate skill level with using the terminal. If you are not comfortable using the command line on your computer, I recommend studying The CLI Crash Course (http://cglab.ca/~morin/teaching/1405/clcc/book/cli-crash-course.html) which should get you a basic working knowledge within a few days to a week.",Hackzone
,62,party,concert live,fa-music,2020-01-12T18:00:00+02:00,2020-01-12T20:00:00+02:00,FR/EN,,Global Network,Village,Live Music,"If you want to be 100% ready, you may want to read first this introduction to ZKPs (https://medium.com/web3studio/a-simple-explanation-of-zero-knowledge-proofs-ca574092e73b) and this one to Semaphore (https://commonwealth.im/edgeware/proposal/discussion/96-semaphore-and-the-potential-for-a-private-dao).",Live Music,Global Network duo will perfom their original space music to each and only peer!,Village
,63,stand,stand,fa-flag,TBA,TBA,FR,,Les Hackeuses,TBA,Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,"Introduction to cryptocurrency for women, by @mamiecrypto",@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,TBA
