day,id,k,k_label,k_icon,t_start,t_end,language,orga,fr_title,fr_description,fr_location,en_title,en_description,en_location
,11,party,DJ set,fa-music,2020-01-10T22:00:00+02:00,2020-01-10T00:30:00+02:00,,La Cuniculaire,DJ Set Hiphop/Soul/Funk,"En pleine semaine, La Cuniculaire rassemble pour faire danser le monde et ce gratuitement.
L’accent est mis sur la sélection musicale et sur la mixité de genre, de couleur, de sexualité.",Dans l'avion !,,,
samedi 11,1,stand,stand,fa-flag,TBA,TBA,FR,Les Hackeuses,Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,Entre la boutique de plante et la tête de l’avion.,,,
,2,stand,stand,fa-flag,2020-01-11T14:00:00+02:00,2020-01-11T18:00:00+02:00,FR/EN,Artiste Fasto,P2P Painting - Experiment Peer-painting with friends,"Fresques participatives et ateliers dessins/peintures avec l'artiste Fasto, accessibles aux enfants comme aux adultes

",Entrée Zone Village,,,
,3,stand,stand,fa-flag,TBA,TBA,FR,France Barter  (Arthur Bard),France Barter,"France Barter : l'échange inter-entreprises
Achetez sans argent auprès d’une communauté d’entreprises",Zone Village,,,
,4,talk,talk,fa-presentation,2020-01-11T14:00:00+02:00,2020-01-11T15:00:00+02:00,FR/EN,Antoine E. from Berty.tech (ONG),Présentation IPFS & Berty Protocol,Qu'est-ce qu'IPFS ? Comment fonctionne ce protocole dont tout le monde parle ? Quelles perspectives d'utilisations ? Qu'est-ce que l'équipe Berty a pu développé dans le cadre de son projet basé sur IPFS - Retour d'expérience d'Antoine E.,Espace Conférence Charolais,,,
,5,talk,talk,fa-presentation,2020-01-11T15:30:00+02:00,2020-01-11T16:00:00+02:00,FR,Manfred T. from Berty.tech (ONG),Comment contribuer ou rejoindre des projets open source ? Quelles méthodologies ?,"Beaucoup de développeurs appréhendent, ou méconnaissent les méthodologies d'interactions avec les projets open source. Timidité, peurs de mal faire... ou incompréhension des processus sont autant de raisons de ne pas contribuer à un projet. Retour d'expérience sur les méthodologies pour les porteurs de projets ouverts, comme pour les développeurs souhaitant devenir contributeurs open source.",Espace Conférence Charolais,,,
,6,talk,talk,fa-presentation,2020-01-11T16:00:00+02:00,2020-01-11T17:00:00+02:00,FR,DAO Panel,Panel : 2020 sera-t-elle l'année des DAOs ?,"Panel avec Louis Giraux (Association Aragon), Adrien Berthou (Genesis DAO, PolkaDAO, DAO), Alex Masmej (MetaCartel, Stake DAO, Marketing DAO) - modéré par Philippe Honigman",Espace Conférence Charolais,,,
,7,talk,talk,fa-presentation,2020-01-11T17:00:00+02:00,2020-01-11T17:30:00+02:00,EN,Dani S. ,A history of decentralized thought (EN),"Daniel Shavit est co-fondateur de DAOincubator et research lead à Pando Network et Aragon Black
 Founder -Research Lead 
@pando_network
 -Research and Community 
@AragonBlackTeam",Espace Conférence Charolais,,,
,8,talk,talk,fa-presentation,2020-01-11T17:30:00+02:00,2020-01-11T18:00:00+02:00,EN,Alex Masmej,From multisig to revenue generating DAOs,"Alex Masmej is part of the original MetaCartel DAO, which was grants-giving. New bigger steps are yet to come, and Alex will be giving a sneak peek into its future.",Espace Conférence Charolais,,,
,9,talk,talk,fa-presentation,2020-01-11T18:00:00+02:00,2020-01-11T18:30:00+02:00,FR,ARK Ecosystem,Présentation de l'Écosystème ARK et de ses derniers développement par François-Xavier Thoorens ,"ARK Ecosystem est une Société Coopérative d'Intérêt Collectif à l'origine de la blockchain ARK, et basé sur un Protocole DPOS. François-Xavier viendra nous présenter le fonctionnement de ARK, tant sur son organisation que sur le fonctionnement de son protocole, et ses dernières réalisations techniques.",Espace Conférence Charolais,,,
,10,workshop,workshop,fa-laptop-code,2020-01-11T14:00:00+02:00,2020-01-11T16:00:00+02:00,FR,DAO Workshop,Workshop DAOcanvas,"Ce workshop proposé par festDAO et animé par Adrien Berthou est une introduction pratique et participative à la conception d'une DAO. Après une présentation des principes des DAO et une démo de DAO en production, les participants sont invités à proposer des cas pertinents et à en poser les principaux mécanismes en s'aidant du DAO canvas",P2P Meet-up Zone,,,
,11,talk,talk / panel #1,fa-presentation,2020-01-11T14:00:00+02:00,2020-01-11T15:00:00+02:00,FR,Public Commons Day,"Public Commons Day - Open Science et Open Education, quelles prospectives pour 2020?
","Open Science et Open Education, quelles prospectives pour 2020?
TBA",Scène Village,,,
,12,talk,talk / panel #2,fa-presentation,2020-01-11T15:00:00+02:00,2020-01-11T16:00:00+02:00,FR,Public Commons Day,"Public Commons Day - Licences libres et aide au développement: retours d’expérience (Creative Commons, Wikimedia)
",Danièle Bourcier + TBA,Scène Village,,,
,13,talk,talk / panel #3,fa-presentation,2020-01-11T16:00:00+02:00,2020-01-11T17:00:00+02:00,FR,Public Commons Day,"Public Commons Day - Implications de l’intelligence artificielle et la blockchain sur la production artistique
","Primavera De Filippi +TBA
",Scène Village,,,
,14,meet-up,meet-up,fa-glass-cheers,2020-01-11T17:00:00+02:00,2020-01-11T18:00:00+02:00,FR,Public Commons Day,Pot de Public Commons Day,Pot convivial pour fêter le Public Commons Day,Zone Village,,,
,15,projection,projection,fa-camera-movie,2020-01-11T17:00:00+02:00,2020-01-11T18:30:00+02:00,FR,Protocole ,"Projection Film ""Protocole""","Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Salle de projection,,,
,16,projection,projection,fa-camera-movie,2020-01-11T20:00:00+02:00,2020-01-11T21:30:00+02:00,FR,Nothing to hide - Projection,Nothing to hide - Projection,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Salle de projection,,,
dimanche 12,1,stand,stand,fa-flag,TBA,TBA,FR,Les Hackeuses,Atelier d'initiation à la cryptomonnaie pour les femmes,@LesHackeuses et leurs complices soutiennent la volonté des femmes à prendre leur place dans l’écosystème blockchain. La stratégie est de rentrer intelligemment dans l’écosystème pour le faire évoluer de l’intérieur (d’où le nom : @LesHackeuses).,TBA,,,
,2,projection,projection,fa-camera-movie,2020-01-12T14:00:00+02:00,2020-01-12T15:30:00+02:00,FR,Protocole ,Nothing to hide - Projection,"Documentaire dédié à l'acceptation de la surveillance dans la population à travers l'argument ""je n'ai rien à cacher"". ""Passionnant"" (Inrocks), ""Qui ouvre les yeux"" (Forbes), ""Inquiétant"" (France 24)",Salle de projection,,,
,3,projection,projection,fa-camera-movie,2020-01-12T16:30:00+02:00,2020-01-12T18:00:00+02:00,FR,Protocole ,"Projection Film ""Protocole"" ","Protocole écoute la « cryptosphère ». On y côtoie des utilisateurs, des promoteurs de Bitcoin et des cryptomonnaies en général, mais aussi des entrepreneurs et des chercheurs qui étudient ce phénomène.

En donnant la parole aux premiers concernés, il devient évident que la contestation monétaire portée par Bitcoin s’inscrit en réalité dans une remise en question beaucoup plus vaste de notre société tout entière. Les cryptomonnaies sont bien moins « une nouvelle classe d’actifs » qu’un phénomène social.",Salle de projection,,,
,4,workshop,workshop,fa-laptop-code,2020-01-12T13:00:00+02:00,2020-01-12T16:00:00+02:00,FR/EN,Pathwar.land,Découverte de la plateforme d'apprentissage de Cybersécurité : Pathwar.land ,"Pathwar.land est une plateforme opensource permettant l'apprentissage des pratiques de la cybersécurité. Elle est gratuite et accessible à tous et prend la forme de challenges, de défis, et d'une compétition sans merci entre les joueurs.",Hackzone,,,
,5,party,concert live,fa-music,2020-01-12T18:00:00+02:00,2020-01-12T20:00:00+02:00,FR/EN,Global Network,Live Music,,Grand Hall,,,
